"","Identifier_0_to_60","AUC_Values_0_to_60"
"1","wt",32874.6069521342
"2","wt",31748.0438977438
"3","wt",38121.0900064174
"4","wt",23998.3668511022
"5","wt",22687.612451322
"6","wt",25413.3842196017
"7","wt",45825.8209013293
"8","wt",38215.2036538787
"9","wt",28756.6112853879
"10","wt",20624.5167612306
"11","wt",21676.1174721284
"12","wt",20168.2063267505
"13","wt",17213.412316273
"14","old mCherry",33816.6520421184
"15","old mCherry",45830.8837217362
"16","old mCherry",72532.6549935068
"17","old mCherry",48660.4016994872
"18","old mCherry",31775.5023898202
"19","old mCherry",45608.4966021194
"20","old mCherry",38574.2359504819
"21","old mCherry",37374.3466137474
"22","old mCherry",52822.6782908654
"23","old mCherry",42148.7426452679
"24","old mCherry",29355.6840726351
"25","new mCherry",7667.69209303506
"26","new mCherry",5370.0470419161
"27","new mCherry",10054.1751492697
"28","new mCherry",7644.2586540346
"29","new mCherry",5258.0042944111
"30","new mCherry",8327.45106727397
"31","new mCherry",5076.88397000279
"32","new mCherry",5329.25016164891
"33","old orai",45008.091641251
"34","old orai",42950.5500386096
"35","old orai",56230.7388261545
"36","old orai",42544.3542446819
"37","old orai",53899.8269334538
"38","new orai",5341.71512997328
"39","new orai",5129.63236103246
"40","new orai",4889.12000709313
"41","new orai",5467.18860141064
"42","new orai",3975.4777560576
"43","new orai",3604.59130883734
"44","stim",40130.6439123856
"45","stim",50638.4764321256
"46","stim",51027.230766407
"47","stim",60396.4903457804
"48","stim",63684.6504161952
"49","stim",62811.8989355232
"50","stim",34390.6352381722
"51","stim",53401.0176924114
"52","stim",37541.742493949
"53","stim",0
"54","best2",26558.422629057
"55","best2",24351.0840690417
"56","best2",38846.0209205464
"57","best2",16054.6229190213
"58","best2",33538.2058004708
"59","best2",28166.6283135863
"60","best2",34661.1312822178
"61","best2",23468.9029873631
"62","best2",24604.6039355141
"63","best2",29939.6978104884
"64","best2",21936.7644525905
"65","best2",24221.0450625706
"66","best2",24658.3919028349
"67","SERCA",42066.8649638441
"68","SERCA",40220.9241219215
"69","SERCA",31331.4184055028
"70","SERCA",29295.3230640029
"71","SERCA",32151.8125076443
"72","SERCA",33121.5618038328
"73","SERCA",30472.5819352909
"74","SERCA",27263.3401540519
"75","SERCA-mCherry",40070.1118974093
"76","SERCA-mCherry",43941.5304880714
"77","SERCA-mCherry",37233.7646673596
"78","SERCA-mCherry",41057.1903129671
"79","SERCA-mCherry",34739.6474302524
"80","SERCA-mCherry",33094.8949915156
