"","Identifier_60_to_end","AUC_Values_60_to_end"
"1","wt",996288.602336958
"2","wt",165210.180911301
"3","wt",222150.026976968
"4","wt",907118.879932499
"5","wt",82726.044154224
"6","wt",392892.889343101
"7","wt",660350.950996196
"8","wt",691906.729546187
"9","wt",556249.079266585
"10","wt",440722.122597789
"11","wt",822395.566472381
"12","wt",212325.675129856
"13","wt",142526.646225074
"14","old mCherry",595524.391816822
"15","old mCherry",562568.417580093
"16","old mCherry",166278.638298052
"17","old mCherry",159401.164911063
"18","old mCherry",391036.405344477
"19","old mCherry",1648345.6971579
"20","old mCherry",49806.5079566043
"21","old mCherry",971823.385006284
"22","old mCherry",119007.92816864
"23","old mCherry",39920.5028635401
"24","old mCherry",82797.2162247563
"25","new mCherry",32499.6318611799
"26","new mCherry",23717.3023007461
"27","new mCherry",26682.8418096467
"28","new mCherry",23121.4051399727
"29","new mCherry",30643.9142551604
"30","new mCherry",31293.9112449834
"31","new mCherry",21240.0594988403
"32","new mCherry",24943.7612700564
"33","old orai",95274.3670398534
"34","old orai",1398460.60075176
"35","old orai",316577.729604885
"36","old orai",116358.601765407
"37","old orai",1190544.26281815
"38","new orai",97167.6248371167
"39","new orai",154889.533451617
"40","new orai",169423.924897084
"41","new orai",263948.541970378
"42","new orai",61386.3312336039
"43","new orai",36368.1449393638
"44","stim",696560.602902179
"45","stim",1243537.3008428
"46","stim",3024116.2307509
"47","stim",798073.825066361
"48","stim",1228176.87286006
"49","stim",1735897.15360813
"50","stim",619224.845814635
"51","stim",769876.809645816
"52","stim",613782.402459333
"53","stim",0
"54","best2",314904.397952127
"55","best2",481594.81084318
"56","best2",293417.67300567
"57","best2",183986.619187606
"58","best2",56064.7671123185
"59","best2",524053.277154131
"60","best2",151734.172873647
"61","best2",565749.513410214
"62","best2",427053.728900846
"63","best2",491041.557427291
"64","best2",892590.666151242
"65","best2",122925.771945675
"66","best2",244924.680904826
"67","SERCA",96661.5762173218
"68","SERCA",102604.812514697
"69","SERCA",74481.374078924
"70","SERCA",62710.4065259889
"71","SERCA",77362.2893672465
"72","SERCA",84772.7148704744
"73","SERCA",70870.8333287425
"74","SERCA",70158.1559890115
"75","SERCA-mCherry",102296.782273083
"76","SERCA-mCherry",99566.3347502894
"77","SERCA-mCherry",82969.2009484021
"78","SERCA-mCherry",91904.3104874565
"79","SERCA-mCherry",79190.0812222157
"80","SERCA-mCherry",75932.9409705977
