"","Identifier_peak2_non_abs","AUC_Values_peak2_non_abs"
"1","wt_non_abs",43224.9404638766
"2","wt_non_abs",53351.0788085903
"3","wt_non_abs",53052.2156977974
"4","wt_non_abs",31181.9082297357
"5","wt_non_abs",19210.8433303965
"6","wt_non_abs",24497.2636971366
"7","wt_non_abs",50385.4390601322
"8","wt_non_abs",39238.8885702643
"9","wt_non_abs",32636.2998887665
"10","wt_non_abs",12054.9171167401
"11","wt_non_abs",25960.7135764317
"12","wt_non_abs",24083.4863623348
"13","wt_non_abs",18539.8048063877
"14","old mCherry_non_abs",38404.568064978
"15","old mCherry_non_abs",45307.5453374449
"16","old mCherry_non_abs",89061.7124193833
"17","old mCherry_non_abs",31432.1440991189
"18","old mCherry_non_abs",25095.2730198238
"19","old mCherry_non_abs",37126.9458922908
"20","old mCherry_non_abs",34839.2907504405
"21","old mCherry_non_abs",45367.7112526432
"22","old mCherry_non_abs",53876.0409585903
"23","old mCherry_non_abs",34333.5562343612
"24","old mCherry_non_abs",24373.2232988987
"25","new mCherry_non_abs",33227.4906094714
"26","new mCherry_non_abs",24247.6056678414
"27","new mCherry_non_abs",28386.5919991189
"28","new mCherry_non_abs",24178.0729101322
"29","new mCherry_non_abs",30946.5701590308
"30","new mCherry_non_abs",32973.5597647577
"31","new mCherry_non_abs",21724.7858907489
"32","new mCherry_non_abs",25193.6648605727
"33","old orai_non_abs",8555.35596343613
"34","old orai_non_abs",39985.6620581498
"35","old orai_non_abs",26880.5186770925
"36","old orai_non_abs",10730.4875555066
"37","old orai_non_abs",58885.9660645374
"38","new orai_non_abs",10755.7144997797
"39","new orai_non_abs",15344.2892310573
"40","new orai_non_abs",10187.6759636564
"41","new orai_non_abs",10703.1490528634
"42","new orai_non_abs",7516.12282334802
"43","new orai_non_abs",8306.1158845815
"44","stim_non_abs",27092.5116964758
"45","stim_non_abs",45710.5899828194
"46","stim_non_abs",52175.6763319383
"47","stim_non_abs",66447.1011447137
"48","stim_non_abs",75806.8160975771
"49","stim_non_abs",43094.4451396476
"50","stim_non_abs",2404.1579654185
"51","stim_non_abs",62548.939127533
"52","stim_non_abs",9904.62190792952
"53","stim_non_abs",55359.6021676211
"54","best2_non_abs",37836.2530046255
"55","best2_non_abs",37949.5579427313
"56","best2_non_abs",42910.8941169603
"57","best2_non_abs",20102.6083312775
"58","best2_non_abs",37888.7907398678
"59","best2_non_abs",40821.7124746696
"60","best2_non_abs",45716.6739154185
"61","best2_non_abs",32467.9884332599
"62","best2_non_abs",14874.8616090308
"63","best2_non_abs",18458.1726286344
"64","best2_non_abs",24585.1690629956
"65","best2_non_abs",26694.5021196035
"66","best2_non_abs",27751.9954682819
"67","SERCA_non_abs",138698.677040529
"68","SERCA_non_abs",130712.10955815
"69","SERCA_non_abs",109643.040015198
"70","SERCA_non_abs",68850.9809242291
"71","SERCA_non_abs",95127.4249140969
"72","SERCA_non_abs",157063.452015198
"73","SERCA_non_abs",60765.4653220264
"74","SERCA_non_abs",120831.593121145
"75","SERCA-mCherry_non_abs",214762.692713436
"76","SERCA-mCherry_non_abs",127397.608829956
"77","SERCA-mCherry_non_abs",65016.1671984582
"78","SERCA-mCherry_non_abs",127713.400947357
"79","SERCA-mCherry_non_abs",93141.6575433921
"80","SERCA-mCherry_non_abs",120816.1285663
